model,block_layer,stage,pooling,source_language,target_language,metric,value,n
trillionlabs/Tri-0.5B-Base,7,input,last_token,en,ko,r1,0.068359375,512
trillionlabs/Tri-0.5B-Base,7,input,last_token,en,ko,r5,0.16015625,512
trillionlabs/Tri-0.5B-Base,7,input,last_token,en,ko,r10,0.22265625,512
trillionlabs/Tri-0.5B-Base,7,input,last_token,en,ko,mrr,0.12274323476550256,512
trillionlabs/Tri-0.5B-Base,7,input,last_token,en,ja,r1,0.01953125,512
trillionlabs/Tri-0.5B-Base,7,input,last_token,en,ja,r5,0.056640625,512
trillionlabs/Tri-0.5B-Base,7,input,last_token,en,ja,r10,0.076171875,512
trillionlabs/Tri-0.5B-Base,7,input,last_token,en,ja,mrr,0.04802597270167305,512
trillionlabs/Tri-0.5B-Base,7,input,last_token,en,zh,r1,0.08203125,512
trillionlabs/Tri-0.5B-Base,7,input,last_token,en,zh,r5,0.201171875,512
trillionlabs/Tri-0.5B-Base,7,input,last_token,en,zh,r10,0.24609375,512
trillionlabs/Tri-0.5B-Base,7,input,last_token,en,zh,mrr,0.14351192577645833,512
trillionlabs/Tri-0.5B-Base,7,input,last_token,ko,en,r1,0.109375,512
trillionlabs/Tri-0.5B-Base,7,input,last_token,ko,en,r5,0.21875,512
trillionlabs/Tri-0.5B-Base,7,input,last_token,ko,en,r10,0.279296875,512
trillionlabs/Tri-0.5B-Base,7,input,last_token,ko,en,mrr,0.17051514639411813,512
trillionlabs/Tri-0.5B-Base,7,input,last_token,ko,ja,r1,0.033203125,512
trillionlabs/Tri-0.5B-Base,7,input,last_token,ko,ja,r5,0.0625,512
trillionlabs/Tri-0.5B-Base,7,input,last_token,ko,ja,r10,0.099609375,512
trillionlabs/Tri-0.5B-Base,7,input,last_token,ko,ja,mrr,0.06012308849310684,512
trillionlabs/Tri-0.5B-Base,7,input,last_token,ko,zh,r1,0.033203125,512
trillionlabs/Tri-0.5B-Base,7,input,last_token,ko,zh,r5,0.09765625,512
trillionlabs/Tri-0.5B-Base,7,input,last_token,ko,zh,r10,0.146484375,512
trillionlabs/Tri-0.5B-Base,7,input,last_token,ko,zh,mrr,0.07167246809298777,512
trillionlabs/Tri-0.5B-Base,7,input,last_token,ja,en,r1,0.05078125,512
trillionlabs/Tri-0.5B-Base,7,input,last_token,ja,en,r5,0.1328125,512
trillionlabs/Tri-0.5B-Base,7,input,last_token,ja,en,r10,0.1875,512
trillionlabs/Tri-0.5B-Base,7,input,last_token,ja,en,mrr,0.0990468560471945,512
trillionlabs/Tri-0.5B-Base,7,input,last_token,ja,ko,r1,0.06640625,512
trillionlabs/Tri-0.5B-Base,7,input,last_token,ja,ko,r5,0.140625,512
trillionlabs/Tri-0.5B-Base,7,input,last_token,ja,ko,r10,0.1875,512
trillionlabs/Tri-0.5B-Base,7,input,last_token,ja,ko,mrr,0.11139774143953202,512
trillionlabs/Tri-0.5B-Base,7,input,last_token,ja,zh,r1,0.0625,512
trillionlabs/Tri-0.5B-Base,7,input,last_token,ja,zh,r5,0.15625,512
trillionlabs/Tri-0.5B-Base,7,input,last_token,ja,zh,r10,0.212890625,512
trillionlabs/Tri-0.5B-Base,7,input,last_token,ja,zh,mrr,0.11254839506315964,512
trillionlabs/Tri-0.5B-Base,7,input,last_token,zh,en,r1,0.21484375,512
trillionlabs/Tri-0.5B-Base,7,input,last_token,zh,en,r5,0.34375,512
trillionlabs/Tri-0.5B-Base,7,input,last_token,zh,en,r10,0.421875,512
