model,layer,normalized_depth,pooling,n_train,n_eval,n_classes,true_language,predicted_language,count
Qwen/Qwen2.5-0.5B,0,0.0,last_token,1024,2048,4,en,en,496
Qwen/Qwen2.5-0.5B,0,0.0,last_token,1024,2048,4,en,ko,16
Qwen/Qwen2.5-0.5B,0,0.0,last_token,1024,2048,4,en,ja,0
Qwen/Qwen2.5-0.5B,0,0.0,last_token,1024,2048,4,en,zh,0
Qwen/Qwen2.5-0.5B,0,0.0,last_token,1024,2048,4,ko,en,480
Qwen/Qwen2.5-0.5B,0,0.0,last_token,1024,2048,4,ko,ko,32
Qwen/Qwen2.5-0.5B,0,0.0,last_token,1024,2048,4,ko,ja,0
Qwen/Qwen2.5-0.5B,0,0.0,last_token,1024,2048,4,ko,zh,0
Qwen/Qwen2.5-0.5B,0,0.0,last_token,1024,2048,4,ja,en,0
Qwen/Qwen2.5-0.5B,0,0.0,last_token,1024,2048,4,ja,ko,0
Qwen/Qwen2.5-0.5B,0,0.0,last_token,1024,2048,4,ja,ja,508
Qwen/Qwen2.5-0.5B,0,0.0,last_token,1024,2048,4,ja,zh,4
Qwen/Qwen2.5-0.5B,0,0.0,last_token,1024,2048,4,zh,en,1
Qwen/Qwen2.5-0.5B,0,0.0,last_token,1024,2048,4,zh,ko,3
Qwen/Qwen2.5-0.5B,0,0.0,last_token,1024,2048,4,zh,ja,475
Qwen/Qwen2.5-0.5B,0,0.0,last_token,1024,2048,4,zh,zh,33
Qwen/Qwen2.5-0.5B,12,0.5,last_token,1024,2048,4,en,en,512
Qwen/Qwen2.5-0.5B,12,0.5,last_token,1024,2048,4,en,ko,0
Qwen/Qwen2.5-0.5B,12,0.5,last_token,1024,2048,4,en,ja,0
Qwen/Qwen2.5-0.5B,12,0.5,last_token,1024,2048,4,en,zh,0
Qwen/Qwen2.5-0.5B,12,0.5,last_token,1024,2048,4,ko,en,0
Qwen/Qwen2.5-0.5B,12,0.5,last_token,1024,2048,4,ko,ko,512
Qwen/Qwen2.5-0.5B,12,0.5,last_token,1024,2048,4,ko,ja,0
Qwen/Qwen2.5-0.5B,12,0.5,last_token,1024,2048,4,ko,zh,0
Qwen/Qwen2.5-0.5B,12,0.5,last_token,1024,2048,4,ja,en,0
Qwen/Qwen2.5-0.5B,12,0.5,last_token,1024,2048,4,ja,ko,0
Qwen/Qwen2.5-0.5B,12,0.5,last_token,1024,2048,4,ja,ja,512
Qwen/Qwen2.5-0.5B,12,0.5,last_token,1024,2048,4,ja,zh,0
Qwen/Qwen2.5-0.5B,12,0.5,last_token,1024,2048,4,zh,en,0
Qwen/Qwen2.5-0.5B,12,0.5,last_token,1024,2048,4,zh,ko,1
Qwen/Qwen2.5-0.5B,12,0.5,last_token,1024,2048,4,zh,ja,0
Qwen/Qwen2.5-0.5B,12,0.5,last_token,1024,2048,4,zh,zh,511
Qwen/Qwen2.5-0.5B,24,1.0,last_token,1024,2048,4,en,en,512
Qwen/Qwen2.5-0.5B,24,1.0,last_token,1024,2048,4,en,ko,0
Qwen/Qwen2.5-0.5B,24,1.0,last_token,1024,2048,4,en,ja,0
Qwen/Qwen2.5-0.5B,24,1.0,last_token,1024,2048,4,en,zh,0
Qwen/Qwen2.5-0.5B,24,1.0,last_token,1024,2048,4,ko,en,0
Qwen/Qwen2.5-0.5B,24,1.0,last_token,1024,2048,4,ko,ko,512
Qwen/Qwen2.5-0.5B,24,1.0,last_token,1024,2048,4,ko,ja,0
Qwen/Qwen2.5-0.5B,24,1.0,last_token,1024,2048,4,ko,zh,0
Qwen/Qwen2.5-0.5B,24,1.0,last_token,1024,2048,4,ja,en,0
Qwen/Qwen2.5-0.5B,24,1.0,last_token,1024,2048,4,ja,ko,0
Qwen/Qwen2.5-0.5B,24,1.0,last_token,1024,2048,4,ja,ja,512
Qwen/Qwen2.5-0.5B,24,1.0,last_token,1024,2048,4,ja,zh,0
Qwen/Qwen2.5-0.5B,24,1.0,last_token,1024,2048,4,zh,en,1
Qwen/Qwen2.5-0.5B,24,1.0,last_token,1024,2048,4,zh,ko,0
Qwen/Qwen2.5-0.5B,24,1.0,last_token,1024,2048,4,zh,ja,0
Qwen/Qwen2.5-0.5B,24,1.0,last_token,1024,2048,4,zh,zh,511
Qwen/Qwen2.5-0.5B,0,0.0,mean,1024,2048,4,en,en,512
Qwen/Qwen2.5-0.5B,0,0.0,mean,1024,2048,4,en,ko,0
Qwen/Qwen2.5-0.5B,0,0.0,mean,1024,2048,4,en,ja,0
Qwen/Qwen2.5-0.5B,0,0.0,mean,1024,2048,4,en,zh,0
Qwen/Qwen2.5-0.5B,0,0.0,mean,1024,2048,4,ko,en,0
Qwen/Qwen2.5-0.5B,0,0.0,mean,1024,2048,4,ko,ko,512
Qwen/Qwen2.5-0.5B,0,0.0,mean,1024,2048,4,ko,ja,0
Qwen/Qwen2.5-0.5B,0,0.0,mean,1024,2048,4,ko,zh,0
Qwen/Qwen2.5-0.5B,0,0.0,mean,1024,2048,4,ja,en,0
Qwen/Qwen2.5-0.5B,0,0.0,mean,1024,2048,4,ja,ko,0
Qwen/Qwen2.5-0.5B,0,0.0,mean,1024,2048,4,ja,ja,512
Qwen/Qwen2.5-0.5B,0,0.0,mean,1024,2048,4,ja,zh,0
Qwen/Qwen2.5-0.5B,0,0.0,mean,1024,2048,4,zh,en,0
Qwen/Qwen2.5-0.5B,0,0.0,mean,1024,2048,4,zh,ko,0
Qwen/Qwen2.5-0.5B,0,0.0,mean,1024,2048,4,zh,ja,0
Qwen/Qwen2.5-0.5B,0,0.0,mean,1024,2048,4,zh,zh,512
Qwen/Qwen2.5-0.5B,12,0.5,mean,1024,2048,4,en,en,512
Qwen/Qwen2.5-0.5B,12,0.5,mean,1024,2048,4,en,ko,0
Qwen/Qwen2.5-0.5B,12,0.5,mean,1024,2048,4,en,ja,0
Qwen/Qwen2.5-0.5B,12,0.5,mean,1024,2048,4,en,zh,0
Qwen/Qwen2.5-0.5B,12,0.5,mean,1024,2048,4,ko,en,0
Qwen/Qwen2.5-0.5B,12,0.5,mean,1024,2048,4,ko,ko,512
Qwen/Qwen2.5-0.5B,12,0.5,mean,1024,2048,4,ko,ja,0
Qwen/Qwen2.5-0.5B,12,0.5,mean,1024,2048,4,ko,zh,0
Qwen/Qwen2.5-0.5B,12,0.5,mean,1024,2048,4,ja,en,0
Qwen/Qwen2.5-0.5B,12,0.5,mean,1024,2048,4,ja,ko,0
Qwen/Qwen2.5-0.5B,12,0.5,mean,1024,2048,4,ja,ja,512
Qwen/Qwen2.5-0.5B,12,0.5,mean,1024,2048,4,ja,zh,0
Qwen/Qwen2.5-0.5B,12,0.5,mean,1024,2048,4,zh,en,0
Qwen/Qwen2.5-0.5B,12,0.5,mean,1024,2048,4,zh,ko,0
Qwen/Qwen2.5-0.5B,12,0.5,mean,1024,2048,4,zh,ja,0
Qwen/Qwen2.5-0.5B,12,0.5,mean,1024,2048,4,zh,zh,512
Qwen/Qwen2.5-0.5B,24,1.0,mean,1024,2048,4,en,en,512
Qwen/Qwen2.5-0.5B,24,1.0,mean,1024,2048,4,en,ko,0
Qwen/Qwen2.5-0.5B,24,1.0,mean,1024,2048,4,en,ja,0
Qwen/Qwen2.5-0.5B,24,1.0,mean,1024,2048,4,en,zh,0
Qwen/Qwen2.5-0.5B,24,1.0,mean,1024,2048,4,ko,en,0
Qwen/Qwen2.5-0.5B,24,1.0,mean,1024,2048,4,ko,ko,512
Qwen/Qwen2.5-0.5B,24,1.0,mean,1024,2048,4,ko,ja,0
Qwen/Qwen2.5-0.5B,24,1.0,mean,1024,2048,4,ko,zh,0
Qwen/Qwen2.5-0.5B,24,1.0,mean,1024,2048,4,ja,en,0
Qwen/Qwen2.5-0.5B,24,1.0,mean,1024,2048,4,ja,ko,0
Qwen/Qwen2.5-0.5B,24,1.0,mean,1024,2048,4,ja,ja,512
Qwen/Qwen2.5-0.5B,24,1.0,mean,1024,2048,4,ja,zh,0
Qwen/Qwen2.5-0.5B,24,1.0,mean,1024,2048,4,zh,en,0
Qwen/Qwen2.5-0.5B,24,1.0,mean,1024,2048,4,zh,ko,0
Qwen/Qwen2.5-0.5B,24,1.0,mean,1024,2048,4,zh,ja,0
Qwen/Qwen2.5-0.5B,24,1.0,mean,1024,2048,4,zh,zh,512
