model,block_layer,stage,pooling,source_language,target_language,metric,value,n
trillionlabs/Tri-0.5B-Base,22,input,last_token,en,ko,r1,0.7421875,512
trillionlabs/Tri-0.5B-Base,22,input,last_token,en,ko,r5,0.8828125,512
trillionlabs/Tri-0.5B-Base,22,input,last_token,en,ko,r10,0.91796875,512
trillionlabs/Tri-0.5B-Base,22,input,last_token,en,ko,mrr,0.807528107481768,512
trillionlabs/Tri-0.5B-Base,22,input,last_token,en,ja,r1,0.55078125,512
trillionlabs/Tri-0.5B-Base,22,input,last_token,en,ja,r5,0.75,512
trillionlabs/Tri-0.5B-Base,22,input,last_token,en,ja,r10,0.806640625,512
trillionlabs/Tri-0.5B-Base,22,input,last_token,en,ja,mrr,0.6361802751734806,512
trillionlabs/Tri-0.5B-Base,22,input,last_token,en,zh,r1,0.72265625,512
trillionlabs/Tri-0.5B-Base,22,input,last_token,en,zh,r5,0.9140625,512
trillionlabs/Tri-0.5B-Base,22,input,last_token,en,zh,r10,0.94140625,512
trillionlabs/Tri-0.5B-Base,22,input,last_token,en,zh,mrr,0.8070286658040222,512
trillionlabs/Tri-0.5B-Base,22,input,last_token,ko,en,r1,0.7578125,512
trillionlabs/Tri-0.5B-Base,22,input,last_token,ko,en,r5,0.892578125,512
trillionlabs/Tri-0.5B-Base,22,input,last_token,ko,en,r10,0.921875,512
trillionlabs/Tri-0.5B-Base,22,input,last_token,ko,en,mrr,0.8192079946229763,512
trillionlabs/Tri-0.5B-Base,22,input,last_token,ko,ja,r1,0.51171875,512
trillionlabs/Tri-0.5B-Base,22,input,last_token,ko,ja,r5,0.671875,512
trillionlabs/Tri-0.5B-Base,22,input,last_token,ko,ja,r10,0.71875,512
trillionlabs/Tri-0.5B-Base,22,input,last_token,ko,ja,mrr,0.5848790359047369,512
trillionlabs/Tri-0.5B-Base,22,input,last_token,ko,zh,r1,0.595703125,512
trillionlabs/Tri-0.5B-Base,22,input,last_token,ko,zh,r5,0.810546875,512
trillionlabs/Tri-0.5B-Base,22,input,last_token,ko,zh,r10,0.8671875,512
trillionlabs/Tri-0.5B-Base,22,input,last_token,ko,zh,mrr,0.6932145256877872,512
trillionlabs/Tri-0.5B-Base,22,input,last_token,ja,en,r1,0.658203125,512
trillionlabs/Tri-0.5B-Base,22,input,last_token,ja,en,r5,0.892578125,512
trillionlabs/Tri-0.5B-Base,22,input,last_token,ja,en,r10,0.927734375,512
trillionlabs/Tri-0.5B-Base,22,input,last_token,ja,en,mrr,0.7629620529630817,512
trillionlabs/Tri-0.5B-Base,22,input,last_token,ja,ko,r1,0.638671875,512
trillionlabs/Tri-0.5B-Base,22,input,last_token,ja,ko,r5,0.83203125,512
trillionlabs/Tri-0.5B-Base,22,input,last_token,ja,ko,r10,0.8828125,512
trillionlabs/Tri-0.5B-Base,22,input,last_token,ja,ko,mrr,0.721963008250347,512
trillionlabs/Tri-0.5B-Base,22,input,last_token,ja,zh,r1,0.7265625,512
trillionlabs/Tri-0.5B-Base,22,input,last_token,ja,zh,r5,0.888671875,512
trillionlabs/Tri-0.5B-Base,22,input,last_token,ja,zh,r10,0.927734375,512
trillionlabs/Tri-0.5B-Base,22,input,last_token,ja,zh,mrr,0.7995345044880716,512
trillionlabs/Tri-0.5B-Base,22,input,last_token,zh,en,r1,0.748046875,512
trillionlabs/Tri-0.5B-Base,22,input,last_token,zh,en,r5,0.92578125,512
trillionlabs/Tri-0.5B-Base,22,input,last_token,zh,en,r10,0.94921875,512
trillionlabs/Tri-0.5B-Base,22,input,last_token,zh,en,mrr,0.8268310885492196,512
trillionlabs/Tri-0.5B-Base,22,input,last_token,zh,ko,r1,0.59765625,512
trillionlabs/Tri-0.5B-Base,22,input,last_token,zh,ko,r5,0.8125,512
trillionlabs/Tri-0.5B-Base,22,input,last_token,zh,ko,r10,0.865234375,512
trillionlabs/Tri-0.5B-Base,22,input,last_token,zh,ko,mrr,0.6903816766622741,512
trillionlabs/Tri-0.5B-Base,22,input,last_token,zh,ja,r1,0.501953125,512
