model,block_layer,stage,pooling,source_language,target_language,metric,value,n
Qwen/Qwen2.5-0.5B,22,input,last_token,en,ko,r1,0.5234375,512
Qwen/Qwen2.5-0.5B,22,input,last_token,en,ko,r5,0.7890625,512
Qwen/Qwen2.5-0.5B,22,input,last_token,en,ko,r10,0.84375,512
Qwen/Qwen2.5-0.5B,22,input,last_token,en,ko,mrr,0.6384197569385878,512
Qwen/Qwen2.5-0.5B,22,input,last_token,en,ja,r1,0.59375,512
Qwen/Qwen2.5-0.5B,22,input,last_token,en,ja,r5,0.85546875,512
Qwen/Qwen2.5-0.5B,22,input,last_token,en,ja,r10,0.912109375,512
Qwen/Qwen2.5-0.5B,22,input,last_token,en,ja,mrr,0.7123149038173573,512
Qwen/Qwen2.5-0.5B,22,input,last_token,en,zh,r1,0.837890625,512
Qwen/Qwen2.5-0.5B,22,input,last_token,en,zh,r5,0.958984375,512
Qwen/Qwen2.5-0.5B,22,input,last_token,en,zh,r10,0.974609375,512
Qwen/Qwen2.5-0.5B,22,input,last_token,en,zh,mrr,0.8911315879456388,512
Qwen/Qwen2.5-0.5B,22,input,last_token,ko,en,r1,0.283203125,512
Qwen/Qwen2.5-0.5B,22,input,last_token,ko,en,r5,0.51171875,512
Qwen/Qwen2.5-0.5B,22,input,last_token,ko,en,r10,0.59375,512
Qwen/Qwen2.5-0.5B,22,input,last_token,ko,en,mrr,0.39504841056800133,512
Qwen/Qwen2.5-0.5B,22,input,last_token,ko,ja,r1,0.439453125,512
Qwen/Qwen2.5-0.5B,22,input,last_token,ko,ja,r5,0.69921875,512
Qwen/Qwen2.5-0.5B,22,input,last_token,ko,ja,r10,0.783203125,512
Qwen/Qwen2.5-0.5B,22,input,last_token,ko,ja,mrr,0.558994256277761,512
Qwen/Qwen2.5-0.5B,22,input,last_token,ko,zh,r1,0.423828125,512
Qwen/Qwen2.5-0.5B,22,input,last_token,ko,zh,r5,0.662109375,512
Qwen/Qwen2.5-0.5B,22,input,last_token,ko,zh,r10,0.744140625,512
Qwen/Qwen2.5-0.5B,22,input,last_token,ko,zh,mrr,0.5335652281145624,512
Qwen/Qwen2.5-0.5B,22,input,last_token,ja,en,r1,0.4765625,512
Qwen/Qwen2.5-0.5B,22,input,last_token,ja,en,r5,0.748046875,512
Qwen/Qwen2.5-0.5B,22,input,last_token,ja,en,r10,0.830078125,512
Qwen/Qwen2.5-0.5B,22,input,last_token,ja,en,mrr,0.5992536372253926,512
Qwen/Qwen2.5-0.5B,22,input,last_token,ja,ko,r1,0.677734375,512
Qwen/Qwen2.5-0.5B,22,input,last_token,ja,ko,r5,0.876953125,512
Qwen/Qwen2.5-0.5B,22,input,last_token,ja,ko,r10,0.900390625,512
Qwen/Qwen2.5-0.5B,22,input,last_token,ja,ko,mrr,0.7651188030163381,512
Qwen/Qwen2.5-0.5B,22,input,last_token,ja,zh,r1,0.677734375,512
Qwen/Qwen2.5-0.5B,22,input,last_token,ja,zh,r5,0.85546875,512
Qwen/Qwen2.5-0.5B,22,input,last_token,ja,zh,r10,0.904296875,512
Qwen/Qwen2.5-0.5B,22,input,last_token,ja,zh,mrr,0.7583794578675811,512
Qwen/Qwen2.5-0.5B,22,input,last_token,zh,en,r1,0.73828125,512
Qwen/Qwen2.5-0.5B,22,input,last_token,zh,en,r5,0.927734375,512
Qwen/Qwen2.5-0.5B,22,input,last_token,zh,en,r10,0.953125,512
Qwen/Qwen2.5-0.5B,22,input,last_token,zh,en,mrr,0.820328451972764,512
Qwen/Qwen2.5-0.5B,22,input,last_token,zh,ko,r1,0.5546875,512
Qwen/Qwen2.5-0.5B,22,input,last_token,zh,ko,r5,0.775390625,512
Qwen/Qwen2.5-0.5B,22,input,last_token,zh,ko,r10,0.833984375,512
Qwen/Qwen2.5-0.5B,22,input,last_token,zh,ko,mrr,0.6582510351292832,512
Qwen/Qwen2.5-0.5B,22,input,last_token,zh,ja,r1,0.546875,512
Qwen/Qwen2.5-0.5B,22,input,last_token,zh,ja,r5,0.796875,512
Qwen/Qwen2.5-0.5B,22,input,last_token,zh,ja,r10,0.85546875,512
Qwen/Qwen2.5-0.5B,22,input,last_token,zh,ja,mrr,0.6622730640302775,512
Qwen/Qwen2.5-0.5B,22,input,mean,en,ko,r1,0.01171875,512
Qwen/Qwen2.5-0.5B,22,input,mean,en,ko,r5,0.044921875,512
Qwen/Qwen2.5-0.5B,22,input,mean,en,ko,r10,0.072265625,512
Qwen/Qwen2.5-0.5B,22,input,mean,en,ko,mrr,0.036722746013030834,512
Qwen/Qwen2.5-0.5B,22,input,mean,en,ja,r1,0.01953125,512
Qwen/Qwen2.5-0.5B,22,input,mean,en,ja,r5,0.07421875,512
Qwen/Qwen2.5-0.5B,22,input,mean,en,ja,r10,0.1015625,512
Qwen/Qwen2.5-0.5B,22,input,mean,en,ja,mrr,0.05295744372277508,512
Qwen/Qwen2.5-0.5B,22,input,mean,en,zh,r1,0.802734375,512
Qwen/Qwen2.5-0.5B,22,input,mean,en,zh,r5,0.900390625,512
