model,layer,normalized_depth,pooling,n_train,n_eval,n_classes,true_language,predicted_language,count
trillionlabs/Tri-0.5B-Base,0,0.0,last_token,1024,2048,4,en,en,494
trillionlabs/Tri-0.5B-Base,0,0.0,last_token,1024,2048,4,en,ko,17
trillionlabs/Tri-0.5B-Base,0,0.0,last_token,1024,2048,4,en,ja,0
trillionlabs/Tri-0.5B-Base,0,0.0,last_token,1024,2048,4,en,zh,1
trillionlabs/Tri-0.5B-Base,0,0.0,last_token,1024,2048,4,ko,en,475
trillionlabs/Tri-0.5B-Base,0,0.0,last_token,1024,2048,4,ko,ko,36
trillionlabs/Tri-0.5B-Base,0,0.0,last_token,1024,2048,4,ko,ja,0
trillionlabs/Tri-0.5B-Base,0,0.0,last_token,1024,2048,4,ko,zh,1
trillionlabs/Tri-0.5B-Base,0,0.0,last_token,1024,2048,4,ja,en,0
trillionlabs/Tri-0.5B-Base,0,0.0,last_token,1024,2048,4,ja,ko,0
trillionlabs/Tri-0.5B-Base,0,0.0,last_token,1024,2048,4,ja,ja,507
trillionlabs/Tri-0.5B-Base,0,0.0,last_token,1024,2048,4,ja,zh,5
trillionlabs/Tri-0.5B-Base,0,0.0,last_token,1024,2048,4,zh,en,1
trillionlabs/Tri-0.5B-Base,0,0.0,last_token,1024,2048,4,zh,ko,4
trillionlabs/Tri-0.5B-Base,0,0.0,last_token,1024,2048,4,zh,ja,472
trillionlabs/Tri-0.5B-Base,0,0.0,last_token,1024,2048,4,zh,zh,35
trillionlabs/Tri-0.5B-Base,12,0.5,last_token,1024,2048,4,en,en,511
trillionlabs/Tri-0.5B-Base,12,0.5,last_token,1024,2048,4,en,ko,1
trillionlabs/Tri-0.5B-Base,12,0.5,last_token,1024,2048,4,en,ja,0
trillionlabs/Tri-0.5B-Base,12,0.5,last_token,1024,2048,4,en,zh,0
trillionlabs/Tri-0.5B-Base,12,0.5,last_token,1024,2048,4,ko,en,0
trillionlabs/Tri-0.5B-Base,12,0.5,last_token,1024,2048,4,ko,ko,510
trillionlabs/Tri-0.5B-Base,12,0.5,last_token,1024,2048,4,ko,ja,0
trillionlabs/Tri-0.5B-Base,12,0.5,last_token,1024,2048,4,ko,zh,2
trillionlabs/Tri-0.5B-Base,12,0.5,last_token,1024,2048,4,ja,en,0
trillionlabs/Tri-0.5B-Base,12,0.5,last_token,1024,2048,4,ja,ko,0
trillionlabs/Tri-0.5B-Base,12,0.5,last_token,1024,2048,4,ja,ja,511
trillionlabs/Tri-0.5B-Base,12,0.5,last_token,1024,2048,4,ja,zh,1
trillionlabs/Tri-0.5B-Base,12,0.5,last_token,1024,2048,4,zh,en,0
trillionlabs/Tri-0.5B-Base,12,0.5,last_token,1024,2048,4,zh,ko,3
trillionlabs/Tri-0.5B-Base,12,0.5,last_token,1024,2048,4,zh,ja,0
trillionlabs/Tri-0.5B-Base,12,0.5,last_token,1024,2048,4,zh,zh,509
trillionlabs/Tri-0.5B-Base,24,1.0,last_token,1024,2048,4,en,en,511
trillionlabs/Tri-0.5B-Base,24,1.0,last_token,1024,2048,4,en,ko,0
trillionlabs/Tri-0.5B-Base,24,1.0,last_token,1024,2048,4,en,ja,1
trillionlabs/Tri-0.5B-Base,24,1.0,last_token,1024,2048,4,en,zh,0
trillionlabs/Tri-0.5B-Base,24,1.0,last_token,1024,2048,4,ko,en,0
trillionlabs/Tri-0.5B-Base,24,1.0,last_token,1024,2048,4,ko,ko,512
trillionlabs/Tri-0.5B-Base,24,1.0,last_token,1024,2048,4,ko,ja,0
trillionlabs/Tri-0.5B-Base,24,1.0,last_token,1024,2048,4,ko,zh,0
trillionlabs/Tri-0.5B-Base,24,1.0,last_token,1024,2048,4,ja,en,0
trillionlabs/Tri-0.5B-Base,24,1.0,last_token,1024,2048,4,ja,ko,0
trillionlabs/Tri-0.5B-Base,24,1.0,last_token,1024,2048,4,ja,ja,512
trillionlabs/Tri-0.5B-Base,24,1.0,last_token,1024,2048,4,ja,zh,0
trillionlabs/Tri-0.5B-Base,24,1.0,last_token,1024,2048,4,zh,en,0
trillionlabs/Tri-0.5B-Base,24,1.0,last_token,1024,2048,4,zh,ko,0
trillionlabs/Tri-0.5B-Base,24,1.0,last_token,1024,2048,4,zh,ja,0
trillionlabs/Tri-0.5B-Base,24,1.0,last_token,1024,2048,4,zh,zh,512
trillionlabs/Tri-0.5B-Base,0,0.0,mean,1024,2048,4,en,en,511
trillionlabs/Tri-0.5B-Base,0,0.0,mean,1024,2048,4,en,ko,1
trillionlabs/Tri-0.5B-Base,0,0.0,mean,1024,2048,4,en,ja,0
trillionlabs/Tri-0.5B-Base,0,0.0,mean,1024,2048,4,en,zh,0
trillionlabs/Tri-0.5B-Base,0,0.0,mean,1024,2048,4,ko,en,0
trillionlabs/Tri-0.5B-Base,0,0.0,mean,1024,2048,4,ko,ko,512
trillionlabs/Tri-0.5B-Base,0,0.0,mean,1024,2048,4,ko,ja,0
trillionlabs/Tri-0.5B-Base,0,0.0,mean,1024,2048,4,ko,zh,0
trillionlabs/Tri-0.5B-Base,0,0.0,mean,1024,2048,4,ja,en,0
trillionlabs/Tri-0.5B-Base,0,0.0,mean,1024,2048,4,ja,ko,0
trillionlabs/Tri-0.5B-Base,0,0.0,mean,1024,2048,4,ja,ja,512
trillionlabs/Tri-0.5B-Base,0,0.0,mean,1024,2048,4,ja,zh,0
trillionlabs/Tri-0.5B-Base,0,0.0,mean,1024,2048,4,zh,en,0
trillionlabs/Tri-0.5B-Base,0,0.0,mean,1024,2048,4,zh,ko,0
trillionlabs/Tri-0.5B-Base,0,0.0,mean,1024,2048,4,zh,ja,1
trillionlabs/Tri-0.5B-Base,0,0.0,mean,1024,2048,4,zh,zh,511
trillionlabs/Tri-0.5B-Base,12,0.5,mean,1024,2048,4,en,en,512
trillionlabs/Tri-0.5B-Base,12,0.5,mean,1024,2048,4,en,ko,0
trillionlabs/Tri-0.5B-Base,12,0.5,mean,1024,2048,4,en,ja,0
trillionlabs/Tri-0.5B-Base,12,0.5,mean,1024,2048,4,en,zh,0
trillionlabs/Tri-0.5B-Base,12,0.5,mean,1024,2048,4,ko,en,0
trillionlabs/Tri-0.5B-Base,12,0.5,mean,1024,2048,4,ko,ko,510
trillionlabs/Tri-0.5B-Base,12,0.5,mean,1024,2048,4,ko,ja,1
trillionlabs/Tri-0.5B-Base,12,0.5,mean,1024,2048,4,ko,zh,1
trillionlabs/Tri-0.5B-Base,12,0.5,mean,1024,2048,4,ja,en,0
trillionlabs/Tri-0.5B-Base,12,0.5,mean,1024,2048,4,ja,ko,1
trillionlabs/Tri-0.5B-Base,12,0.5,mean,1024,2048,4,ja,ja,510
trillionlabs/Tri-0.5B-Base,12,0.5,mean,1024,2048,4,ja,zh,1
trillionlabs/Tri-0.5B-Base,12,0.5,mean,1024,2048,4,zh,en,0
trillionlabs/Tri-0.5B-Base,12,0.5,mean,1024,2048,4,zh,ko,0
trillionlabs/Tri-0.5B-Base,12,0.5,mean,1024,2048,4,zh,ja,0
