model,block_layer,stage,pooling,condition,source_language,target_language,metric,value,k,n_train,n_eval
trillionlabs/Tri-0.5B-Base,22,input,last_token,geometry,,,centroid_separation,1086.983154296875,3,1024,2048
trillionlabs/Tri-0.5B-Base,22,input,last_token,geometry,,,centroid_norm,1934.0838623046875,3,1024,2048
trillionlabs/Tri-0.5B-Base,22,input,last_token,geometry,,,language_subspace_variance_fraction,0.3754444554522209,3,1024,2048
trillionlabs/Tri-0.5B-Base,22,input,last_token,geometry,,,language_subspace_centroid_variance,0.9999999999999999,3,1024,2048
trillionlabs/Tri-0.5B-Base,22,input,last_token,geometry,,,anisotropy,0.827958183512529,3,1024,2048
trillionlabs/Tri-0.5B-Base,22,input,last_token,geometry,,,stable_rank,4.534025560363104,3,1024,2048
trillionlabs/Tri-0.5B-Base,22,input,last_token,raw,en,ko,r1,0.7421875,3,1024,2048
trillionlabs/Tri-0.5B-Base,22,input,last_token,raw,en,ko,mrr,0.807528107481768,3,1024,2048
trillionlabs/Tri-0.5B-Base,22,input,last_token,raw,en,ja,r1,0.55078125,3,1024,2048
trillionlabs/Tri-0.5B-Base,22,input,last_token,raw,en,ja,mrr,0.6361802751734806,3,1024,2048
trillionlabs/Tri-0.5B-Base,22,input,last_token,raw,en,zh,r1,0.72265625,3,1024,2048
trillionlabs/Tri-0.5B-Base,22,input,last_token,raw,en,zh,mrr,0.8070286658040222,3,1024,2048
trillionlabs/Tri-0.5B-Base,22,input,last_token,raw,ko,en,r1,0.7578125,3,1024,2048
trillionlabs/Tri-0.5B-Base,22,input,last_token,raw,ko,en,mrr,0.8192079946229763,3,1024,2048
trillionlabs/Tri-0.5B-Base,22,input,last_token,raw,ko,ja,r1,0.51171875,3,1024,2048
trillionlabs/Tri-0.5B-Base,22,input,last_token,raw,ko,ja,mrr,0.5848790359047369,3,1024,2048
trillionlabs/Tri-0.5B-Base,22,input,last_token,raw,ko,zh,r1,0.595703125,3,1024,2048
